arqueológica:[('https://es.wikipedia.org/wiki/Roma', 1)]
barrios:[('https://es.wikipedia.org/wiki/Roma', 3)]
barrocos:[('https://es.wikipedia.org/wiki/Roma', 1)]
basadas:[('https://es.wikipedia.org/wiki/Roma', 1)]
base:[('https://es.wikipedia.org/wiki/Roma', 1)]
basilicales:[('https://es.wikipedia.org/wiki/Roma', 1)]
baskirwikipedia:[('https://es.wikipedia.org/wiki/Roma', 1)]
beard:[('https://es.wikipedia.org/wiki/Roma', 1)]
bellas:[('https://es.wikipedia.org/wiki/Roma', 1)]
belleza:[('https://es.wikipedia.org/wiki/Roma', 1)]
bellezas:[('https://es.wikipedia.org/wiki/Roma', 1)]
belli:[('https://es.wikipedia.org/wiki/Roma', 2)]
bellori:[('https://es.wikipedia.org/wiki/Roma', 1)]
belvedere:[('https://es.wikipedia.org/wiki/Roma', 1)]
benefició:[('https://es.wikipedia.org/wiki/Roma', 1)]
berlín:[('https://es.wikipedia.org/wiki/Roma', 3)]
bersaglieros:[('https://es.wikipedia.org/wiki/Roma', 1)]
bibliografía:[('https://es.wikipedia.org/wiki/Roma', 2)]
bien:[('https://es.wikipedia.org/wiki/Roma', 2)]
bienes:[('https://es.wikipedia.org/wiki/Roma', 4)]
biomédico:[('https://es.wikipedia.org/wiki/Roma', 1)]
bizantinos:[('https://es.wikipedia.org/wiki/Roma', 1)]
bokmålnovialnouormandchichewaoccitanlivvinkarjalaଓଡ଼ିଆиронਪੰਜਾਬੀpapiamentupicarddeitschpälzischnorfuk:[('https://es.wikipedia.org/wiki/Roma', 1)]
bolonia:[('https://es.wikipedia.org/wiki/Roma', 1)]
bonaparte:[('https://es.wikipedia.org/wiki/Roma', 1)]
bonaventura:[('https://es.wikipedia.org/wiki/Roma', 9)]
bonifacio:[('https://es.wikipedia.org/wiki/Roma', 1)]
boquete:[('https://es.wikipedia.org/wiki/Roma', 1)]
bordo:[('https://es.wikipedia.org/wiki/Roma', 1)]
borghese:[('https://es.wikipedia.org/wiki/Roma', 4)]
borgo:[('https://es.wikipedia.org/wiki/Roma', 1)]
borromini:[('https://es.wikipedia.org/wiki/Roma', 1)]
botánico:[('https://es.wikipedia.org/wiki/Roma', 1)]
bracciano:[('https://es.wikipedia.org/wiki/Roma', 2)]
braccianomartignano:[('https://es.wikipedia.org/wiki/Roma', 1)]
bravo:[('https://es.wikipedia.org/wiki/Roma', 1)]
bretaña:[('https://es.wikipedia.org/wiki/Roma', 1)]
breve:[('https://es.wikipedia.org/wiki/Roma', 1)]
brianzo:[('https://es.wikipedia.org/wiki/Roma', 1)]
brisa:[('https://es.wikipedia.org/wiki/Roma', 1)]
britannia:[('https://es.wikipedia.org/wiki/Roma', 1)]
bronce:[('https://es.wikipedia.org/wiki/Roma', 1)]
brucios:[('https://es.wikipedia.org/wiki/Roma', 1)]
buenos:[('https://es.wikipedia.org/wiki/Roma', 3)]
buscó:[('https://es.wikipedia.org/wiki/Roma', 1)]
bustos:[('https://es.wikipedia.org/wiki/Roma', 1)]
by:[('https://es.wikipedia.org/wiki/Roma', 1)]
bárbara:[('https://es.wikipedia.org/wiki/Roma', 1)]
bárbaras:[('https://es.wikipedia.org/wiki/Roma', 1)]
bárbaros:[('https://es.wikipedia.org/wiki/Roma', 1)]
bélicos:[('https://es.wikipedia.org/wiki/Roma', 1)]
bíblico:[('https://es.wikipedia.org/wiki/Roma', 1)]
cabot:[('https://es.wikipedia.org/wiki/Roma', 1)]
cada:[('https://es.wikipedia.org/wiki/Roma', 3)]
cadena:[('https://es.wikipedia.org/wiki/Roma', 1)]
cadorna:[('https://es.wikipedia.org/wiki/Roma', 1)]
caetani:[('https://es.wikipedia.org/wiki/Roma', 1)]
calado:[('https://es.wikipedia.org/wiki/Roma', 1)]
calidad:[('https://es.wikipedia.org/wiki/Roma', 6)]
caliente:[('https://es.wikipedia.org/wiki/Roma', 1)]
calle:[('https://es.wikipedia.org/wiki/Roma', 2)]
callejones:[('https://es.wikipedia.org/wiki/Roma', 1)]
calles:[('https://es.wikipedia.org/wiki/Roma', 3)]
calor:[('https://es.wikipedia.org/wiki/Roma', 1)]
caluroso:[('https://es.wikipedia.org/wiki/Roma', 1)]
cambio:[('https://es.wikipedia.org/wiki/Roma', 1)]
caminando:[('https://es.wikipedia.org/wiki/Roma', 1)]
camino:[('https://es.wikipedia.org/wiki/Roma', 1)]
caminos:[('https://es.wikipedia.org/wiki/Roma', 1)]
campanaria:[('https://es.wikipedia.org/wiki/Roma', 1)]
campanos:[('https://es.wikipedia.org/wiki/Roma', 1)]
campaña:[('https://es.wikipedia.org/wiki/Roma', 1)]
campidoglio:[('https://es.wikipedia.org/wiki/Roma', 3)]
campidogliotambién:[('https://es.wikipedia.org/wiki/Roma', 1)]
campiña:[('https://es.wikipedia.org/wiki/Roma', 2)]
campo:[('https://es.wikipedia.org/wiki/Roma', 5)]
campus:[('https://es.wikipedia.org/wiki/Roma', 3)]
camuccini:[('https://es.wikipedia.org/wiki/Roma', 1)]
canova:[('https://es.wikipedia.org/wiki/Roma', 1)]
cantic:[('https://es.wikipedia.org/wiki/Roma', 1)]
canticwikipedia:[('https://es.wikipedia.org/wiki/Roma', 1)]
cantidad:[('https://es.wikipedia.org/wiki/Roma', 1)]
capacidad:[('https://es.wikipedia.org/wiki/Roma', 1)]
capaz:[('https://es.wikipedia.org/wiki/Roma', 1)]
capitalalcalde:[('https://es.wikipedia.org/wiki/Roma', 1)]
capitale:[('https://es.wikipedia.org/wiki/Roma', 2)]
capitales:[('https://es.wikipedia.org/wiki/Roma', 2)]
capitolina:[('https://es.wikipedia.org/wiki/Roma', 4)]
capitolinaotros:[('https://es.wikipedia.org/wiki/Roma', 1)]
capitolinos:[('https://es.wikipedia.org/wiki/Roma', 3)]
capitolio:[('https://es.wikipedia.org/wiki/Roma', 3)]
capodimonte:[('https://es.wikipedia.org/wiki/Roma', 1)]
caput:[('https://es.wikipedia.org/wiki/Roma', 1)]
capítulo:[('https://es.wikipedia.org/wiki/Roma', 2)]
caracalla:[('https://es.wikipedia.org/wiki/Roma', 3)]
caracterizaba:[('https://es.wikipedia.org/wiki/Roma', 1)]
caracterizado:[('https://es.wikipedia.org/wiki/Roma', 2)]
caracterizados:[('https://es.wikipedia.org/wiki/Roma', 3)]
caracterizan:[('https://es.wikipedia.org/wiki/Roma', 2)]
caracterizando:[('https://es.wikipedia.org/wiki/Roma', 1)]
caracterizó:[('https://es.wikipedia.org/wiki/Roma', 3)]
característica:[('https://es.wikipedia.org/wiki/Roma', 1)]
características:[('https://es.wikipedia.org/wiki/Roma', 5)]
cardenalicias:[('https://es.wikipedia.org/wiki/Roma', 2)]
carli:[('https://es.wikipedia.org/wiki/Roma', 2)]
carlo:[('https://es.wikipedia.org/wiki/Roma', 2)]
carlomagno:[('https://es.wikipedia.org/wiki/Roma', 2)]
carmelo:[('https://es.wikipedia.org/wiki/Roma', 1)]
carnaval:[('https://es.wikipedia.org/wiki/Roma', 3)]
carnavalescos:[('https://es.wikipedia.org/wiki/Roma', 1)]
carolingio:[('https://es.wikipedia.org/wiki/Roma', 1)]
cartago:[('https://es.wikipedia.org/wiki/Roma', 1)]
carteles:[('https://es.wikipedia.org/wiki/Roma', 1)]
cartelloni:[('https://es.wikipedia.org/wiki/Roma', 1)]
casación:[('https://es.wikipedia.org/wiki/Roma', 1)]
casas:[('https://es.wikipedia.org/wiki/Roma', 4)]
casilino:[('https://es.wikipedia.org/wiki/Roma', 1)]
castillos:[('https://es.wikipedia.org/wiki/Roma', 3)]
castrum:[('https://es.wikipedia.org/wiki/Roma', 1)]
catacumbas:[('https://es.wikipedia.org/wiki/Roma', 2)]
catania:[('https://es.wikipedia.org/wiki/Roma', 1)]
catastali:[('https://es.wikipedia.org/wiki/Roma', 1)]
catastral:[('https://es.wikipedia.org/wiki/Roma', 1)]
catedral:[('https://es.wikipedia.org/wiki/Roma', 1)]
categorías:[('https://es.wikipedia.org/wiki/Roma', 1)]
catilina:[('https://es.wikipedia.org/wiki/Roma', 1)]
catolicismo:[('https://es.wikipedia.org/wiki/Roma', 3)]
catorce:[('https://es.wikipedia.org/wiki/Roma', 1)]
causa:[('https://es.wikipedia.org/wiki/Roma', 3)]
causados:[('https://es.wikipedia.org/wiki/Roma', 1)]
cavour:[('https://es.wikipedia.org/wiki/Roma', 2)]
cayo:[('https://es.wikipedia.org/wiki/Roma', 2)]
cayó:[('https://es.wikipedia.org/wiki/Roma', 1)]
cañerías:[('https://es.wikipedia.org/wiki/Roma', 1)]
caóticos:[('https://es.wikipedia.org/wiki/Roma', 1)]
cecilia:[('https://es.wikipedia.org/wiki/Roma', 1)]
cedió:[('https://es.wikipedia.org/wiki/Roma', 1)]
cee:[('https://es.wikipedia.org/wiki/Roma', 1)]
ceilandeses:[('https://es.wikipedia.org/wiki/Roma', 1)]
celebraciones:[('https://es.wikipedia.org/wiki/Roma', 2)]
celebró:[('https://es.wikipedia.org/wiki/Roma', 1)]
celio:[('https://es.wikipedia.org/wiki/Roma', 2)]
cementerios:[('https://es.wikipedia.org/wiki/Roma', 2)]
centenar:[('https://es.wikipedia.org/wiki/Roma', 1)]
centenares:[('https://es.wikipedia.org/wiki/Roma', 4)]
center:[('https://es.wikipedia.org/wiki/Roma', 1)]
central:[('https://es.wikipedia.org/wiki/Roma', 6)]
centralizó:[('https://es.wikipedia.org/wiki/Roma', 1)]
centros:[('https://es.wikipedia.org/wiki/Roma', 3)]
centroseptentrional:[('https://es.wikipedia.org/wiki/Roma', 1)]
cercana:[('https://es.wikipedia.org/wiki/Roma', 1)]

